geoname_id,country_name,city_name
5819,Cyprus,Souni
49518,Rwanda,
49747,Somalia,Oddur
51537,Somalia,
53654,Somalia,Mogadishu
54225,Somalia,Merca
55671,Somalia,Kismayo
57289,Somalia,Hargeisa
58994,Somalia,Garbahaarrey
59611,Somalia,Gaalkacyo
60928,Somalia,Dusa Marreb
62691,Somalia,Erigavo
63795,Somalia,Burao
63949,Somalia,Bu'aale
64013,Somalia,Bosaso
64460,Somalia,Beledweyne
64536,Somalia,Baidoa
69426,Yemen,Zinjibar
69543,Yemen,
71137,Yemen,Sanaa
73560,Yemen,Lahij
74477,Yemen,Ibb
75337,Yemen,Hajjah
75427,Yemen,Hadibu
76184,Yemen,Dhamar
76933,Yemen,Bayt Ghadir
77726,Yemen,Ataq
77843,Yemen,As Salif
78751,Yemen,Mocha
78754,Yemen,Mukalla
78977,Yemen,Al Mahwit
79415,Yemen,Al Hudaydah
80384,Yemen,Dhalie
81302,Libya,Tobruk
85026,Libya,Massah
87205,Libya,Darnah
88319,Libya,Benghazi
88562,Libya,At Taj
88903,Libya,Al Marj
88962,Libya,Al Jawf
89055,Libya,Al Bayda'
89090,Libya,Al Abraq
89113,Libya,Ajdabiya
90150,Iraq,Tikrit
90555,Iraq,Sunkar
90645,Iraq,Sulaymanah
94218,Iraq,Kaway
94787,Iraq,Kirkuk
94824,Iraq,Karbala
95005,Iraq,Kelar
95446,Iraq,Erbil
96965,Iraq,
96966,Iraq,Diwaniyah
96994,Iraq,Dahuk
97990,Iraq,Baqubah
98182,Iraq,Baghdad
98367,Iraq,Awizah
98463,Iraq,Sulaymaniyah
98530,Iraq,As Samawah
98622,Iraq,Ash Shatrah
98854,Iraq,Nasiriyah
98860,Iraq,Najaf
99039,Iraq,Al Musayyib
99072,Iraq,Mosul
99131,Iraq,Kut
99237,Iraq,
99347,Iraq,Al Hillah
99434,Iraq,Nahiyat Ghammas
99532,Iraq,Basrah
99608,Iraq,Al 'Amarah
99738,Iraq,'Afak
