geoname_id,country_name,state_name
1111111101,India,Andhra Pradesh
1111111102,India,Arunachal Pradesh
1111111103,India,Assam
1111111104,India,Bihar
1111111105,India,Chhattisgarh
1111111106,India,Goa
1111111107,India,Gujrat
1111111108,India,Haryana
1111111109,India,Himachal Pradesh
1111111110,India,Jammu and Kashmir
1111111111,India,Jharkhand
1111111112,India,Karnataka
1111111113,India,Kerala
1111111114,India,Madya Pradesh
1111111115,India,Maharashtra
1111111116,India,Manipur
1111111117,India,Meghalaya
1111111118,India,Mizoram
1111111119,India,Nagaland
1111111120,India,Orissa
1111111121,India,Punjab
1111111122,India,Rajasthan
1111111123,India,Sikkim
1111111124,India,Tamil Nadu
1111111125,India,Telagana
1111111126,India,Tripura
1111111127,India,Uttaranchal
1111111128,India,Uttar Pradesh
1111111129,India,West Bengal
1111111130,India,Andaman and Nicobar Islands
1111111131,India,Chandigarh
1111111132,India,Dadar and Nagar Haveli
1111111133,India,Daman and Diu
1111111134,India,Delhi
1111111135,India,Lakshadeep
1111111136,India,Pondicherry
